Datetime,l_C,i_H,o_L,p_O,o_V
2025-06-18 13:30:00+00:00,195.9199981689453,196.05560302734375,195.08999633789062,195.94500732421875,1695026
2025-06-18 13:31:00+00:00,195.40499877929688,196.13999938964844,195.33999633789062,195.86000061035156,172090
2025-06-18 13:32:00+00:00,195.44000244140625,195.56320190429688,195.07000732421875,195.39999389648438,162379
2025-06-18 13:33:00+00:00,195.22000122070312,195.49620056152344,195.17999267578125,195.39999389648438,138462
2025-06-18 13:34:00+00:00,195.22999572753906,195.35989379882812,195.17999267578125,195.23500061035156,151963
2025-06-18 13:35:00+00:00,195.50999450683594,195.5399932861328,195.1699981689453,195.2050018310547,117274
2025-06-18 13:36:00+00:00,195.3249969482422,195.5500030517578,195.1699981689453,195.51499938964844,151459
2025-06-18 13:37:00+00:00,195.58230590820312,195.64500427246094,195.32000732421875,195.3336944580078,112772
2025-06-18 13:38:00+00:00,195.5449981689453,195.6699981689453,195.52000427246094,195.60000610351562,96853
2025-06-18 13:39:00+00:00,195.5399932861328,195.63999938964844,195.44000244140625,195.5449981689453,110947
2025-06-18 13:40:00+00:00,195.53500366210938,195.55999755859375,195.3699951171875,195.52090454101562,100131
2025-06-18 13:41:00+00:00,195.6300048828125,195.7100067138672,195.5,195.5399932861328,118502
2025-06-18 13:42:00+00:00,195.4499969482422,195.64500427246094,195.33999633789062,195.64500427246094,134574
2025-06-18 13:43:00+00:00,195.48089599609375,195.48089599609375,195.30999755859375,195.43499755859375,120934
2025-06-18 13:44:00+00:00,195.47999572753906,195.69000244140625,195.39999389648438,195.47000122070312,128268
2025-06-18 13:45:00+00:00,195.47140502929688,195.50999450683594,195.27000427246094,195.47000122070312,134510
2025-06-18 13:46:00+00:00,195.43710327148438,195.4499969482422,195.36000061035156,195.41000366210938,53696
2025-06-18 13:47:00+00:00,195.38999938964844,195.49000549316406,195.32000732421875,195.44500732421875,100252
2025-06-18 13:48:00+00:00,195.80670166015625,195.85000610351562,195.39500427246094,195.39999389648438,149870
2025-06-18 13:49:00+00:00,196.1042022705078,196.11990356445312,195.7899932861328,195.80499267578125,147462
2025-06-18 13:50:00+00:00,196.2449951171875,196.25999450683594,196.10000610351562,196.10000610351562,125576
2025-06-18 13:51:00+00:00,196.3249969482422,196.4199981689453,196.22999572753906,196.24000549316406,161611
2025-06-18 13:52:00+00:00,196.38999938964844,196.46499633789062,196.24000549316406,196.3300018310547,160591
2025-06-18 13:53:00+00:00,196.27560424804688,196.38999938964844,196.25,196.38999938964844,127889
2025-06-18 13:54:00+00:00,196.16070556640625,196.3800048828125,196.0800018310547,196.28640747070312,136388
2025-06-18 13:55:00+00:00,196.1699981689453,196.36990356445312,196.1300048828125,196.16000366210938,135653
2025-06-18 13:56:00+00:00,196.30999755859375,196.3300018310547,196.13999938964844,196.1649932861328,129326
2025-06-18 13:57:00+00:00,196.30999755859375,196.35499572753906,196.17999267578125,196.33619689941406,75103
2025-06-18 13:58:00+00:00,196.34669494628906,196.38999938964844,196.27000427246094,196.30999755859375,81798
2025-06-18 13:59:00+00:00,196.38999938964844,196.4499969482422,196.33999633789062,196.33999633789062,80781
2025-06-18 14:00:00+00:00,196.28759765625,196.5,196.27000427246094,196.38999938964844,152216
2025-06-18 14:01:00+00:00,196.36920166015625,196.4949951171875,196.2100067138672,196.27999877929688,110395
2025-06-18 14:02:00+00:00,196.41000366210938,196.52520751953125,196.25999450683594,196.3699951171875,109795
2025-06-18 14:03:00+00:00,196.54519653320312,196.597900390625,196.38999938964844,196.4199981689453,110445
2025-06-18 14:04:00+00:00,196.6009979248047,196.72000122070312,196.4949951171875,196.5303955078125,150797
2025-06-18 14:05:00+00:00,196.77000427246094,196.80999755859375,196.55999755859375,196.61000061035156,126425
2025-06-18 14:06:00+00:00,196.88499450683594,196.89999389648438,196.67999267578125,196.77000427246094,133476
2025-06-18 14:07:00+00:00,196.90899658203125,196.93890380859375,196.83999633789062,196.8800048828125,108362
2025-06-18 14:08:00+00:00,196.75979614257812,196.9499969482422,196.71499633789062,196.90960693359375,128330
2025-06-18 14:09:00+00:00,196.72999572753906,196.80999755859375,196.61000061035156,196.77000427246094,85249
2025-06-18 14:10:00+00:00,196.82000732421875,196.94000244140625,196.7050018310547,196.7100067138672,113329
2025-06-18 14:11:00+00:00,196.92999267578125,196.97000122070312,196.82000732421875,196.83009338378906,105107
2025-06-18 14:12:00+00:00,197.1999969482422,197.239501953125,196.93150329589844,196.93150329589844,318561
2025-06-18 14:13:00+00:00,197.07879638671875,197.2406005859375,196.97999572753906,197.2052001953125,133312
2025-06-18 14:14:00+00:00,197.07989501953125,197.14999389648438,197.0399932861328,197.0800018310547,102512
2025-06-18 14:15:00+00:00,197.02000427246094,197.08999633789062,196.9801025390625,197.07000732421875,81661
2025-06-18 14:16:00+00:00,197.28919982910156,197.32000732421875,197.0,197.02999877929688,160431
2025-06-18 14:17:00+00:00,197.39999389648438,197.41000366210938,197.25,197.29690551757812,86173
2025-06-18 14:18:00+00:00,197.3300018310547,197.47000122070312,197.27999877929688,197.39999389648438,111697
2025-06-18 14:19:00+00:00,197.18499755859375,197.35000610351562,197.14999389648438,197.33090209960938,111922
2025-06-18 14:20:00+00:00,197.47000122070312,197.50999450683594,197.1649932861328,197.17999267578125,147503
2025-06-18 14:21:00+00:00,197.28500366210938,197.50230407714844,197.28500366210938,197.47999572753906,101973
2025-06-18 14:22:00+00:00,197.36000061035156,197.3800048828125,197.24000549316406,197.27999877929688,70500
2025-06-18 14:23:00+00:00,197.27999877929688,197.39500427246094,197.24000549316406,197.375,60731
2025-06-18 14:24:00+00:00,197.19500732421875,197.30499267578125,197.1699981689453,197.2700958251953,71188
2025-06-18 14:25:00+00:00,197.15499877929688,197.33999633789062,197.14500427246094,197.1999969482422,78940
2025-06-18 14:26:00+00:00,197.18780517578125,197.2100067138672,197.11000061035156,197.16000366210938,62075
2025-06-18 14:27:00+00:00,197.22999572753906,197.25999450683594,197.19000244140625,197.19000244140625,46364
2025-06-18 14:28:00+00:00,197.12899780273438,197.3000030517578,197.12899780273438,197.24000549316406,69930
2025-06-18 14:29:00+00:00,197.06019592285156,197.1699981689453,197.02000427246094,197.1300048828125,101592
2025-06-18 14:30:00+00:00,197.02000427246094,197.1488037109375,196.97000122070312,197.11000061035156,120203
2025-06-18 14:31:00+00:00,197.16000366210938,197.17999267578125,197.03919982910156,197.0399932861328,71551
2025-06-18 14:32:00+00:00,197.36000061035156,197.36500549316406,197.1300048828125,197.1699981689453,83771
2025-06-18 14:33:00+00:00,197.3699951171875,197.44000244140625,197.3249969482422,197.3531036376953,79820
2025-06-18 14:34:00+00:00,197.4199981689453,197.44000244140625,197.34500122070312,197.3800048828125,81821
2025-06-18 14:35:00+00:00,197.39999389648438,197.44000244140625,197.30999755859375,197.44000244140625,84697
2025-06-18 14:36:00+00:00,197.38999938964844,197.42999267578125,197.35499572753906,197.38999938964844,85639
2025-06-18 14:37:00+00:00,197.4600067138672,197.47999572753906,197.3699951171875,197.38499450683594,70319
2025-06-18 14:38:00+00:00,197.49000549316406,197.57000732421875,197.44000244140625,197.45010375976562,122302
2025-06-18 14:39:00+00:00,197.39999389648438,197.50999450683594,197.38999938964844,197.5050048828125,56940
2025-06-18 14:40:00+00:00,197.12010192871094,197.41000366210938,197.1199951171875,197.39999389648438,78129
2025-06-18 14:41:00+00:00,197.17999267578125,197.22000122070312,197.11500549316406,197.13999938964844,114420
2025-06-18 14:42:00+00:00,197.2949981689453,197.3300018310547,197.1649932861328,197.1750030517578,71125
2025-06-18 14:43:00+00:00,197.3000030517578,197.35000610351562,197.2550048828125,197.27999877929688,50872
2025-06-18 14:44:00+00:00,197.3000030517578,197.32000732421875,197.17999267578125,197.3000030517578,65178
2025-06-18 14:45:00+00:00,197.35499572753906,197.35499572753906,197.27499389648438,197.2949981689453,58704
2025-06-18 14:46:00+00:00,197.25,197.36500549316406,197.22999572753906,197.36000061035156,53172
2025-06-18 14:47:00+00:00,197.27999877929688,197.3300018310547,197.23500061035156,197.25999450683594,60665
2025-06-18 14:48:00+00:00,197.2050018310547,197.2899932861328,197.1699981689453,197.2700958251953,65026
2025-06-18 14:49:00+00:00,197.27999877929688,197.2899932861328,197.11500549316406,197.19329833984375,60714
2025-06-18 14:50:00+00:00,197.3300018310547,197.3717041015625,197.27999877929688,197.27999877929688,62853
2025-06-18 14:51:00+00:00,197.27000427246094,197.33999633789062,197.22999572753906,197.3300018310547,65577
2025-06-18 14:52:00+00:00,197.14990234375,197.2666015625,197.1300048828125,197.2666015625,50309
2025-06-18 14:53:00+00:00,197.1649932861328,197.1999969482422,197.1300048828125,197.15499877929688,42729
2025-06-18 14:54:00+00:00,197.19000244140625,197.22999572753906,197.11959838867188,197.1699981689453,52414
2025-06-18 14:55:00+00:00,197.11000061035156,197.22000122070312,197.0800018310547,197.19000244140625,46984
2025-06-18 14:56:00+00:00,197.16749572753906,197.2198944091797,197.11000061035156,197.11099243164062,35975
2025-06-18 14:57:00+00:00,197.1846923828125,197.1898956298828,197.11000061035156,197.17999267578125,39332
2025-06-18 14:58:00+00:00,197.1300048828125,197.2050018310547,197.08999633789062,197.17999267578125,126006
2025-06-18 14:59:00+00:00,197.25,197.25999450683594,197.1300048828125,197.14999389648438,93100
2025-06-18 15:00:00+00:00,197.2451934814453,197.2852020263672,197.1999969482422,197.24000549316406,79451
2025-06-18 15:01:00+00:00,197.2301025390625,197.2949981689453,197.22019958496094,197.2449951171875,61870
2025-06-18 15:02:00+00:00,197.1851043701172,197.25999450683594,197.17520141601562,197.25,32249
2025-06-18 15:03:00+00:00,197.13999938964844,197.17999267578125,197.07000732421875,197.17999267578125,62967
2025-06-18 15:04:00+00:00,197.14999389648438,197.17999267578125,197.0800018310547,197.1199951171875,125599
2025-06-18 15:05:00+00:00,197.0498046875,197.17999267578125,197.02000427246094,197.14999389648438,65665
2025-06-18 15:06:00+00:00,196.9149932861328,197.0399932861328,196.87969970703125,197.0399932861328,132141
2025-06-18 15:07:00+00:00,196.90499877929688,196.9199981689453,196.89999389648438,196.90060424804688,2090
2025-06-18 15:08:00+00:00,196.92999267578125,196.97999572753906,196.91000366210938,196.9600067138672,75077
2025-06-18 15:09:00+00:00,196.94000244140625,196.9600067138672,196.91009521484375,196.9499969482422,54939
2025-06-18 15:10:00+00:00,196.97999572753906,196.99000549316406,196.94000244140625,196.9770050048828,74820
2025-06-18 15:11:00+00:00,196.88070678710938,196.91000366210938,196.8800048828125,196.90780639648438,29917
2025-06-18 15:13:00+00:00,196.96629333496094,196.96629333496094,196.8800048828125,196.9199981689453,100331
2025-06-18 15:15:00+00:00,196.75,196.81500244140625,196.75,196.81500244140625,186485
2025-06-18 15:16:00+00:00,196.72999572753906,196.77000427246094,196.69500732421875,196.75999450683594,39723
2025-06-18 15:17:00+00:00,196.74000549316406,196.7899932861328,196.74000549316406,196.75999450683594,99062
2025-06-18 15:18:00+00:00,196.71499633789062,196.76010131835938,196.7100067138672,196.74000549316406,40732
2025-06-18 15:20:00+00:00,196.72000122070312,196.74000549316406,196.72000122070312,196.72999572753906,94329
